food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,suitable_for_disease,food_type
1,กล้วยไข่,100 g,ผลไม้,107.0,1.4,24.3,21.5,0.1,22.0,ไม่มีโรค,สมดุล
2,กล้วยน้ำว้า,100 g,ผลไม้,118.0,0.8,27.2,18.5,0.2,4.0,ไม่มีโรค,สมดุล
3,แก้วมังกร,100 g,ผลไม้,56.0,1.3,10.3,9.3,0.7,4.0,โรคเบาหวาน,น้ำตาลต่ำ
4,ขนุน,100 g,ผลไม้,101.0,1.6,21.7,19.2,0.4,26.0,ไม่มีโรค,สมดุล
5,แคนตาลูป,100 g,ผลไม้,28.0,0.5,5.7,10.0,0.1,6.0,โรคเบาหวาน,น้ำตาลต่ำ
6,ฝรั่ง,100 g,ผลไม้,68.0,2.6,14.0,9.0,1.0,2.0,โรคเบาหวาน,น้ำตาลต่ำ
7,เงาะ,100 g,ผลไม้,77.0,1.0,17.9,0.0,0.1,14.0,ไม่มีโรค,สมดุล
8,ชมพู่,100 g,ผลไม้,31.0,0.5,6.7,0.0,0.0,66.0,โรคเบาหวาน,น้ำตาลต่ำ
9,แตงโม,100 g,ผลไม้,37.0,0.8,8.1,8.2,0.1,4.0,ไม่มีโรค,สมดุล
10,ทุเรียน,100 g,ผลไม้,140.0,2.3,23.8,14.8,3.3,11.0,ไม่มีโรค,สมดุล
11,น้อยหน่า,100 g,ผลไม้,100.0,1.3,21.8,17.2,0.2,4.0,ไม่มีโรค,สมดุล
12,มังคุด,100 g,ผลไม้,77.0,0.5,17.7,17.3,0.1,2.0,ไม่มีโรค,สมดุล
13,ส้ม,100 g,ผลไม้,46.0,0.7,9.0,10.7,0.1,3.0,โรคเบาหวาน,น้ำตาลต่ำ
14,แอปเปิ้ล,100 g,ผลไม้,55.0,0.2,12.0,10.1,0.1,58.0,โรคเบาหวาน,น้ำตาลต่ำ
15,องุ่น,100 g,ผลไม้,51.0,0.5,10.6,11.2,0.1,6.0,ไม่มีโรค,สมดุล
16,สตรอเบอรี่,100 g,ผลไม้,34.0,0.8,7.6,3.8,0.5,1.0,โรคเบาหวาน,น้ำตาลต่ำ
17,กีวี,100 g,ผลไม้,47.0,0.9,9.5,0.0,0.6,4.0,โรคเบาหวาน,น้ำตาลต่ำ
18,เชอรี่,100 g,ผลไม้,31.0,0.4,7.0,7.4,0.3,7.0,โรคเบาหวาน,น้ำตาลต่ำ
19,ส้มโอ,100 g,ผลไม้,45.0,1.0,9.9,11.3,0.2,33.0,โรคเบาหวาน,น้ำตาลต่ำ
20,ส้มเขียวหวาน,100 g,ผลไม้,45.0,1.0,9.9,11.3,0.2,33.0,โรคเบาหวาน,น้ำตาลต่ำ
21,สาลี่,100 g,ผลไม้,44.0,0.4,11.4,9.6,0.2,15.0,โรคเบาหวาน,น้ำตาลต่ำ
22,สับปะรด,100 g,ผลไม้,61.0,0.4,14.7,11.1,0.1,5.0,โรคเบาหวาน,น้ำตาลต่ำ
23,แตงไทย,100 g,ผลไม้,13.0,0.2,3.2,2.5,0.0,0.0,โรคเบาหวาน,น้ำตาลต่ำ
24,พุทราไทย,100 g,ผลไม้,89.0,1.7,18.7,0.0,0.8,3.0,โรคเบาหวาน,น้ำตาลต่ำ
25,อะโวคาโด้,100 g,ผลไม้,160.0,2.0,8.5,0.7,14.7,0.0,โรคหัวใจ,ไขมันต่ำ
26,กาแฟดำ,1 ถ้วย / 180 ml,เครื่องดื่ม,10.0,0.4,1.7,0.0,0.2,0.0,โรคเบาหวาน,น้ำตาลต่ำ
27,น้ำเก็กฮวย,1 แก้ว / 200 ml,เครื่องดื่ม,72.0,0.0,18.0,15.0,0.0,10.0,ไม่มีโรค,สมดุล
28,น้ำมะนาว,1 แก้ว / 200 ml,เครื่องดื่ม,60.0,1.0,20.0,1.7,0.2,4.8,ไม่มีโรค,สมดุล
29,น้ำเสาวรส,1 แก้ว / 200 ml,เครื่องดื่ม,110.0,4.0,19.0,17.0,1.5,40.0,ไม่มีโรค,สมดุล
30,น้ำองุ่น,1 แก้ว / 200 ml,เครื่องดื่ม,142.0,0.0,36.0,14.0,0.0,22.0,ไม่มีโรค,สมดุล
31,น้ำส้ม,1 แก้ว / 200 ml,เครื่องดื่ม,111.0,1.7,25.0,8.4,0.5,2.5,ไม่มีโรค,สมดุล
32,น้ำมะพร้าว,1 แก้ว / 200 ml,เครื่องดื่ม,45.0,1.7,9.0,2.6,0.5,252.0,โรคเบาหวาน,น้ำตาลต่ำ
33,น้ำมะเขือเทศ,1 แก้ว / 200 ml,เครื่องดื่ม,50.0,2.0,10.0,7.0,0.0,135.0,โรคหัวใจ,ไขมันต่ำ
34,น้ำนมถั่วเหลือง แลคตาซอย สูตรไม่เติมน้ำตาลทราย,1 กล่อง / 300 ml,เครื่องดื่ม,140.0,9.0,6.0,2.0,9.0,120.0,โรคเบาหวาน,น้ำตาลต่ำ
35,น้ำนมถั่วเหลือง แลคตาซอย สูตรแคลเซียมสูง,1 กล่อง / 300 ml,เครื่องดื่ม,170.0,8.0,18.0,14.0,7.0,105.0,โรคเบาหวาน,น้ำตาลต่ำ
36,น้ำนมถั่วเหลือง แลคตาซอย รสหวานออริจินัล,1 กล่อง / 300 ml,เครื่องดื่ม,220.0,8.0,24.0,22.0,10.0,150.0,ไม่มีโรค,สมดุล
37,นมถั่วเหลืองผสมงาดำ ดีน่า,1 กล่อง / 180 ml,เครื่องดื่ม,100.0,6.0,14.0,4.0,2.5,80.0,โรคเบาหวาน,น้ำตาลต่ำ
38,"แซนวิช, ไก่",1 ชิ้น / 100 g,ฟาสต์ฟู้ด,397.0,18.0,23.0,2.0,19.0,372.0,ไม่มีโรค,สมดุล
