food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,food_type,category_encoded,sugar_to_carb_ratio,fat_to_calorie_ratio,calories_scaled,protein_scaled,carbohydrate_scaled,sugar_scaled,fat_scaled,sodium_scaled,category_encoded_scaled,sugar_to_carb_ratio_scaled,fat_to_calorie_ratio_scaled,food_type_encoded
1,กล้วยไข่,100 g,ผลไม้,107,1.35,24.3,21.5,0.11,22,สมดุล,1,0.88477338,-0.662,0.001028037,-0.893599186,-0.8994391232071472,1.401347673,-0.846074375,-0.795074316,-0.97026571,1.558601847,-1.203554853,0
2,กล้วยน้ำว้า,100 g,ผลไม้,118,0.78,27.18,18.47,0.15,4,สมดุล,1,0.679543782,0.001271186,-0.825733297,-0.945351019,-0.111679402,1.100155243,-0.842409,-0.827129621,-0.97026571,0.997406455,-1.193503016,0
4,ขนุน,100 g,ผลไม้,101,1.55,21.73,19.17,0.42,26,สมดุล,1,0.88219052,0.004158416,-0.930616944,-0.883329707,-0.339504674,1.169737653,-0.817667716,-0.787950914,-0.97026571,1.551538315,-1.074144295,0
7,เงาะ,100 g,ผลไม้,77,0.97,17.92,0,0.14,14,สมดุล,1,0,0.001818182,-1.078687976,-0.930047058,-0.498773351,-0.735826334,-0.843325344,-0.809321118,-0.97026571,-0.860787093,-1.170890103,0
9,แตงโม,100 g,ผลไม้,37,0.81,8.07,8.15,0.07,4,สมดุล,1,1.009913258,0.001891892,-1.32547303,-0.942934604,-0.910530953,0.074311719,-0.849739751,-0.827129621,-0.97026571,1.900792586,-1.167842911,0
10,ทุเรียน,100 g,ผลไม้,140,2.26,23.81,14.75,3.34,11,สมดุล,1,0.61948761,0.023857143,-0.690001517,-0.826141224,-0.252554845,0.730374438,-0.550095311,-0.814663669,-0.97026571,0.833184525,-0.259794437,0
11,น้อยหน่า,100 g,ผลไม้,100,1.32,21.84,17.23,0.2,4,สมดุล,1,0.788919414,0.002,-0.936786571,-0.901855553,-0.334906366,0.976894975,-0.837827281,-0.827129621,-0.97026571,1.296491073,-1.163373698,0
12,มังคุด,100 g,ผลไม้,77,0.5,17.7,17.34,0.06,2,สมดุล,1,0.979661016,0.000779221,-1.078687976,-0.967904223,-0.507969967,0.987829353,-0.850656094,-0.830691322,-0.97026571,1.818068675,-1.213840988,0
15,องุ่น,100 g,ผลไม้,51,0.49,10.64,11.17,0.13,6,สมดุล,1,1.049812029,0.00254902,-1.239098261,-0.968709694,-0.803097751,0.374510115,-0.844241687,-0.82356792,-0.97026571,2.009894665,-1.140677102,0
27,น้ำเก็กฮวย,1 แก้ว / 200 ml,เครื่องดื่ม,72,0,18,15,0,10,สมดุล,4,0.833333333,0,-1.109536108,-1.008177802,-0.495429127,0.755225299,-0.856154158,-0.816444519,1.316161038,1.417939699,-1.246054153,0
28,น้ำมะนาว,1 แก้ว / 200 ml,เครื่องดื่ม,60,1,20,1.7,0.2,4.8,สมดุล,4,0.085,0.003333333,-1.183571624,-0.927630644,-0.411823522,-0.566840483,-0.837827281,-0.825704941,1.316161038,-0.62835696,-1.108253394,0
29,น้ำเสาวรส,1 แก้ว / 200 ml,เครื่องดื่ม,110,4,19,17,1.5,40,สมดุล,4,0.894736842,0.013636364,-0.875090307,-0.685989168,-0.453626324,0.954032183,-0.71870258,-0.76301901,1.316161038,1.585845884,-0.682323776,0
30,น้ำองุ่น,1 แก้ว / 200 ml,เครื่องดื่ม,142,0,36,14,0,22,สมดุล,4,0.388888889,0,-0.677662265,-1.008177802,0.257021314,0.655821856,-0.856154158,-0.795074316,1.316161038,0.202618744,-1.246054153,0
31,น้ำส้ม,1 แก้ว / 200 ml,เครื่องดื่ม,111,1.7,25,8.4,0.5,2.5,สมดุล,4,0.336,0.004504505,-0.868920681,-0.871247633,-0.202809511,0.09916258,-0.810336965,-0.829800897,1.316161038,0.05799555,-1.059836911,0
36,น้ำนมถั่วเหลือง แลคตาซอย รสหวานออริจินัล,1 กล่อง / 300 ml,เครื่องดื่ม,220,8,24,22,10,150,สมดุล,4,0.916666666,0.045454545,-0.196431411,-0.363800535,-0.244612313,1.451049394,0.060189693,-0.567125477,1.316161038,1.645812378,0.633047102,0
38,"แซนวิช, ไก่",1 ชิ้น / 100 g,ฟาสต์ฟู้ด,397,18,40,38,19,372,สมดุล,2,0.95,0.047858942,0.89559245,0.441671049,0.424232523,3.041504469,0.884899159,-0.17177671,-0.20812346,1.736961451,0.732445405,0
40,ฮอทดอก,1 ชิ้น / 50 g,ฟาสต์ฟู้ด,100,3,13,1,4,400,สมดุล,2,0.076923077,0.04,-0.936786571,-0.766536327,-0.704443138,-0.636422892,-0.489616617,-0.121912902,-0.20812346,-0.650443081,0.407554951,0
41,"แฮมเบอร์เกอร์, หมู",1  ชิ้น / 108 g,ฟาสต์ฟู้ด,266,13,31,0,10,442,สมดุล,2,0,0.037593985,0.087371401,0.038935257,0.048007303,-0.735826334,0.060189693,-0.047117189,-0.20812346,-0.860787093,0.308089742,0
